entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,"","Instructions"
"3085697242","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-12163:Sergei Bobrovsky,88253-12163,G,Sergei,Sergei Bobrovsky,Bobrovsky,15.2,50,7500,FLA@PHI,FLA,PHI,,,,,,G
"3085697243","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-12439:Jeff Skinner,88253-12439,W,Jeff,Jeff Skinner,Skinner,14.992424242424242,66,7400,NSH@BUF,BUF,NSH,,,,,,W/UTIL
"3085697244","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-9112:Jake Allen,88253-9112,G,Jake,Jake Allen,Allen,13.13170791253811,41,7400,TB@MON,MON,TB,,,,,,G
"3085697245","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-66693:Sam Montembeault,88253-66693,G,Sam,Sam Montembeault,Montembeault,14.925714983258928,35,7400,TB@MON,MON,TB,,,,,,G
"3085697246","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-42981:Josh Morrissey,88253-42981,D,Josh,Josh Morrissey,Morrissey,15.01739059669384,69,7400,ARI@WPG,WPG,ARI,,,,,,D/UTIL
"3085697247","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-82045:Martin Necas,88253-82045,W,Martin,Martin Necas,Necas,14.617647058823529,68,7300,CAR@NYR,CAR,NYR,,,,,,W/UTIL
"3085697248","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-73938:Carter Hart,88253-73938,G,Carter,Carter Hart,Hart,14.760784074371935,51,7300,FLA@PHI,PHI,FLA,,,,,,G
"3085697250","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-39253:Filip Forsberg,88253-39253,W,Filip,Filip Forsberg,Forsberg,14.034000244140625,50,7300,NSH@BUF,NSH,BUF,IR,Upper body,,,,W/UTIL
"3085697251","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-61859:Brandon Montour,88253-61859,D,Brandon,Brandon Montour,Montour,14.277941535500918,68,7300,FLA@PHI,FLA,PHI,,,,,,D/UTIL
"3085697253","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-8986:Jamie Benn,88253-8986,W,Jamie,Jamie Benn,Benn,14.065713936941965,70,7300,SEA@DAL,DAL,SEA,,,,,,W/UTIL
"3085697254","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-15251:Boone Jenner,88253-15251,C,Boone,Boone Jenner,Jenner,14.298275651602909,58,7300,CBJ@WSH,CBJ,WSH,,,,,,C/UTIL
"3085697255","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-82914:Felix Sandstrom,88253-82914,G,Felix,Felix Sandstrom,Sandstrom,6.352941176470588,17,7300,FLA@PHI,PHI,FLA,,,,,,G
"3085697256","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-70914:Jakob Chychrun,88253-70914,D,Jakob,Jakob Chychrun,Chychrun,13.93695599099864,46,7300,OTT@BOS,OTT,BOS,,,,,,D/UTIL
"3085697257","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-62788:Dylan Larkin,88253-62788,C,Dylan,Dylan Larkin,Larkin,15.091175752527574,68,7300,DET@STL,DET,STL,,,,,,C/UTIL
"3085697258","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-14466:Darcy Kuemper,88253-14466,G,Darcy,Darcy Kuemper,Kuemper,15.87199951171875,50,7200,CBJ@WSH,WSH,CBJ,DTD,Upper body,,,,G
"3085697259","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-8426:Brent Burns,88253-8426,D,Brent,Brent Burns,Burns,13.58970552332261,68,7200,CAR@NYR,CAR,NYR,,,,,,D/UTIL
"3085697260","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-8651:Alex Pietrangelo,88253-8651,D,Alex,Alex Pietrangelo,Pietrangelo,14.28196741323002,61,7200,VGK@VAN,VGK,VAN,,,,,,D/UTIL
"3085697262","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-15360:J.T. Miller,88253-15360,C,J.T.,J.T. Miller,Miller,15.197059182559743,68,7200,VGK@VAN,VAN,VGK,,,,,,C/UTIL
"3085697263","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-62493:Artemi Panarin,88253-62493,W,Artemi,Artemi Panarin,Panarin,14.785714285714286,70,7200,CAR@NYR,NYR,CAR,,,,,,W/UTIL
"3085697265","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-68647:Charlie Lindgren,88253-68647,G,Charlie,Charlie Lindgren,Lindgren,13.306667073567708,30,7200,CBJ@WSH,WSH,CBJ,,,,,,G
"3085697266","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-42800:Zach Fucale,88253-42800,G,Zach,Zach Fucale,Fucale,12.199999809265137,4,7200,CBJ@WSH,WSH,CBJ,,,,,,G
"3085697267","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-12624:Tyler Toffoli,88253-12624,W,Tyler,Tyler Toffoli,Toffoli,14.092957402618838,71,7100,CGY@ANH,CGY,ANH,,,,,,W/UTIL
"3085697268","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-117110:Mads Sogaard,88253-117110,G,Mads,Mads Sogaard,Sogaard,11.199999491373697,12,7100,OTT@BOS,OTT,BOS,,,,,,G
"3085697269","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-8763:Brad Marchand,88253-8763,W,Brad,Brad Marchand,Marchand,13.919354838709678,62,7100,OTT@BOS,BOS,OTT,,,,,,W/UTIL
"3085697270","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-97135:Kevin Mandolese,88253-97135,G,Kevin,Kevin Mandolese,Mandolese,14.800000190734863,4,7100,OTT@BOS,OTT,BOS,,,,,,G
