Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
LW,Alexis Lafreniere (26924229),Alexis Lafreniere,26924229,W/UTIL,3600,NYR@MON 03/09/2023 07:00PM ET,NYR,6.44
C,Yanni Gourde (26923889),Yanni Gourde,26923889,C/UTIL,3600,OTT@SEA 03/09/2023 10:00PM ET,SEA,7.16
LW,Eeli Tolvanen (26924227),Eeli Tolvanen,26924227,W/UTIL,3600,OTT@SEA 03/09/2023 10:00PM ET,SEA,8.27
LW,Ivan Barbashev (26924225),Ivan Barbashev,26924225,W/UTIL,3600,VGK@TB 03/09/2023 07:00PM ET,VGK,6.56
D,Nick Perbix (26924741),Nick Perbix,26924741,D/UTIL,3600,VGK@TB 03/09/2023 07:00PM ET,TB,6.29
D,Ryan McDonagh (26924753),Ryan McDonagh,26924753,D/UTIL,3500,NSH@ARI 03/09/2023 09:00PM ET,NSH,6.83
RW,Jack Quinn (26924235),Jack Quinn,26924235,W/UTIL,3500,DAL@BUF 03/09/2023 07:00PM ET,BUF,6.09
LW,Mason Marchment (26924237),Mason Marchment,26924237,W/UTIL,3500,DAL@BUF 03/09/2023 07:00PM ET,DAL,6.89
C,Morgan Frost (26923891),Morgan Frost,26923891,C/UTIL,3500,PHI@CAR 03/09/2023 07:00PM ET,PHI,7.05
D,Brett Pesce (26924745),Brett Pesce,26924745,D/UTIL,3500,PHI@CAR 03/09/2023 07:00PM ET,CAR,7.14
D,Mikey Anderson (26924749),Mikey Anderson,26924749,D/UTIL,3500,LA@COL 03/09/2023 09:00PM ET,LA,6.01
RW,Kaapo Kakko (26924233),Kaapo Kakko,26924233,W/UTIL,3500,NYR@MON 03/09/2023 07:00PM ET,NYR,6.13
C,Jean-Gabriel Pageau (26923893),Jean-Gabriel Pageau,26923893,C/UTIL,3500,NYI@PIT 03/09/2023 07:00PM ET,NYI,7.40
D,Adam Pelech (26924747),Adam Pelech,26924747,D/UTIL,3500,NYI@PIT 03/09/2023 07:00PM ET,NYI,6.94
C,Shane Pinto (26923895),Shane Pinto,26923895,C/UTIL,3500,OTT@SEA 03/09/2023 10:00PM ET,OTT,6.68
